station_id,first_seen,last_seen,active_days,rent_events,ret_events,name,lat,lon,gu,dong,addr,span_days,activity_ratio,total_events,in_current_list,station_type
ST0860,2024-08-01,2026-03-09,432,919,916,읍내동 보도육교 아래(법동 방면),36.377508,127.426867,대덕구,읍내동,대전광역시 대덕구 읍내동 517-23,586,0.7372,1835,False,ACTIVE
ST0694,2024-08-01,2026-03-31,409,928,907,계산동 오투그란데 미학(210동),36.344294,127.302444,유성구,계산동,대전광역시 유성구 계산동 721,608,0.6727,1835,True,ACTIVE
ST1360,2024-11-25,2026-03-31,390,929,883,관저동 관저체육공원,36.292252,127.337391,서구,관저동,대전광역시 서구 관저동 1634,492,0.7927,1812,True,ACTIVE
ST1336,2024-12-03,2026-03-31,304,903,884,삼성동 삼가교(대전역방면),36.338067,127.435864,동구,삼성동,대전광역시 동구 삼성동 80-100,484,0.6281,1787,True,ACTIVE
ST1074,2024-08-01,2026-03-31,357,885,888,신탄진동 에코공원(금강로하스타워1),36.448866,127.444635,대덕구,신탄진동,대전광역시 대덕구 신탄진동 1-7,608,0.5872,1773,True,ACTIVE
ST0477,2024-08-01,2026-03-31,421,886,887,대화동 대전병원(GS25),36.362747,127.417977,대덕구,오정동,대전광역시 대덕구 오정동 10-102,608,0.6924,1773,True,ACTIVE
ST1487,2025-10-18,2026-03-31,135,887,885,월평동 월평초등학교 육교 아래,36.35636,127.357451,서구,월평동,대전광역시 서구 월평동 1555,165,0.8182,1772,True,ACTIVE
ST1006,2024-08-06,2026-03-31,447,881,889,옥계동 하남아파트 A동,36.300593,127.454851,중구,옥계동,대전광역시 중구 옥계동 51-7,603,0.7413,1770,True,ACTIVE
ST1438,2025-10-24,2026-03-31,131,876,892,장대동 행복주택 104동 건너편,36.361252,127.324807,유성구,장대동,대전광역시 유성구 장대동 232-7,159,0.8239,1768,True,ACTIVE
ST0824,2024-08-01,2026-03-31,446,884,877,정림동 삼성자동차운전전문학원 건너편,36.302313,127.369511,서구,정림동,대전광역시 서구 정림동 27-5,608,0.7336,1761,True,ACTIVE
ST0110,2024-08-01,2026-03-31,458,881,878,덕암동 금호아파트,36.443567,127.426774,대덕구,덕암동,대전광역시 대덕구 덕암동 13-6,608,0.7533,1759,True,ACTIVE
ST0595,2024-08-01,2026-04-01,444,880,878,대성동 현대무역 정류장,36.295958,127.459822,동구,대성동,대전광역시 동구 대성동 189-4,609,0.7291,1758,True,ACTIVE
ST1399,2024-11-29,2026-03-31,359,902,855,목상동 한국타이어 후문 정류장,36.449793,127.415733,대덕구,목상동,대전광역시 대덕구 목상동 37-5,488,0.7357,1757,True,ACTIVE
ST0027,2024-08-01,2026-03-31,459,872,861,신탄진동 과선교 버스정류장,36.442446,127.429604,대덕구,신탄진동,대전광역시 대덕구 신탄진동 295-191,608,0.7549,1733,True,ACTIVE
ST0579,2024-08-02,2026-03-31,403,864,859,가오동 가오30호 어린이공원,36.310788,127.456258,동구,가오동,대전광역시 동구 가오동 473,607,0.6639,1723,True,ACTIVE
ST1503,2025-10-12,2026-03-31,135,862,848,삼성동 국민건강보험공단 대전동부지사,36.339783,127.419737,동구,삼성동,대전광역시 동구 삼성동 332-3,171,0.7895,1710,True,ACTIVE
ST0479,2024-08-01,2026-03-30,457,848,851,대화동 만민어린이집,36.367763,127.416405,대덕구,대화동,대전광역시 대덕구 대화동 37-1,607,0.7529,1699,True,ACTIVE
ST0658,2024-08-01,2026-03-31,409,839,843,용전동 LG전자 동대전서비스센터,36.355014,127.437729,동구,용전동,대전광역시 동구 용전동 20-1,608,0.6727,1682,True,ACTIVE
ST1480,2025-10-21,2026-03-31,135,830,840,월평동 갑천대교(갑천역 방향),36.357312,127.358127,서구,월평동,대전광역시 서구 월평동 216-3,162,0.8333,1670,True,ACTIVE
ST0571,2024-08-01,2026-03-31,365,834,828,대별동 대전운전면허시험장,36.286054,127.462647,동구,대별동,대전광역시 동구 대별동 364-2,608,0.6003,1662,True,ACTIVE
ST0862,2024-08-01,2026-03-30,468,819,839,와동 회덕우체국 입구,36.402848,127.422835,대덕구,와동,대전광역시 대덕구 와동 361-7,607,0.771,1658,True,ACTIVE
ST1122,2024-08-01,2026-03-31,419,821,818,낭월동 오투그란데 107동 건너편,36.285324,127.465609,동구,낭월동,대전광역시 동구 낭월동 215-1,608,0.6891,1639,True,ACTIVE
ST0667,2024-08-01,2026-03-29,398,804,802,가양동 가양요양병원 정류장,36.346095,127.446903,동구,가양동,대전광역시 동구 가양동 391-8,606,0.6568,1606,True,ACTIVE
ST0165,2024-08-02,2026-03-31,386,1088,513,지족동 노은3지구 영무예다음(102동),36.374482,127.305412,유성구,지족동,대전광역시 유성구 지족동 1052,607,0.6359,1601,True,ACTIVE
